player_id,player_name,season,player_team,position,ind_hits,ind_takeaways,ind_giveaways,ind_d_zone_giveaways,ind_penalty_minutes,penalties,penalty_minutes_drawn,penalties_drawn,shots_blocked_by_player,ind_blocked_shot_attempts,ind_faceoffs_won,faceoffs_won,faceoffs_lost,ind_d_zone_shift_starts,ind_o_zone_shift_starts,ind_neutral_zone_shift_starts,ice_time,games_played,pk_ice_time,fv5_ice_time,on_ice_expected_goals_pct,on_ice_corsi_pct,on_ice_fenwick_pct,on_ice_against_expected_goals,on_ice_against_high_danger_shots,on_ice_against_shots_on_goal,on_ice_against_goals,on_ice_for_expected_goals,pk_ice_pct,pk_toi_per_game,ind_hits_pg,ind_takeaways_pg,ind_giveaways_pg,ind_d_zone_giveaways_pg,shots_blocked_by_player_pg,ind_blocked_shot_attempts_pg,penalties_pg,ind_penalty_minutes_pg,penalties_drawn_pg,ind_hits_per60,ind_takeaways_per60,ind_giveaways_per60,shots_blocked_by_player_per60,penalties_per60,ind_penalty_minutes_per60,faceoff_win_pct,d_zone_start_pct,take_give_ratio,on_ice_expected_goals_pct_avg,on_ice_corsi_pct_avg,on_ice_fenwick_pct_avg,xg_against_per60_5v5,hd_shots_against_per60_5v5,goals_against_per60_5v5
8471709,Marc-Edouard Vlasic,2020,SJS,D,40.0,10.0,15.0,13.0,8.0,4.0,4.0,2.0,64.0,25.0,0.0,0.0,0.0,176.0,73.0,151.0,53592.0,51,6785.0,45035.0,25.7239,23.456599999999998,23.9254,28.319,26.0,371.0,36.0,26.925,0.1266047171219585,2.2173202614379086,0.7843137254901961,0.19607843137254902,0.29411764705882354,0.2549019607843137,1.2549019607843137,0.49019607843137253,0.0784313725490196,0.1568627450980392,0.0392156862745098,2.6869682042095837,0.6717420510523959,1.0076130765785938,4.299149126735333,0.2686968204209583,0.5373936408419167,,0.7068273092369478,0.6666666666666666,0.6264327996003108,0.5712191233485067,0.5826354208948595,2.2637592983235257,2.078383479515932,2.8777617408682135
8471709,Marc-Edouard Vlasic,2021,SJS,D,54.0,17.0,31.0,27.0,18.0,9.0,12.0,6.0,90.0,46.0,0.0,0.0,0.0,176.0,125.0,205.0,68469.0,75,3668.0,63830.0,34.6111,33.3381,34.5997,45.212,36.0,512.0,49.0,35.7,0.05357168937767457,0.8151111111111111,0.72,0.22666666666666666,0.41333333333333333,0.36,1.2,0.6133333333333333,0.12,0.24,0.08,2.8392411164176488,0.8938351662796302,1.6299347149805021,4.732068527362748,0.4732068527362748,0.9464137054725495,,0.584717607973422,0.5483870967741935,0.5946732472191759,0.572801100892997,0.5944773772520758,2.5499483001723333,2.03039323202256,2.7635907880307067
8471709,Marc-Edouard Vlasic,2022,SJS,D,45.0,34.0,37.0,29.0,6.0,3.0,10.0,5.0,116.0,65.0,0.0,0.0,0.0,314.0,73.0,304.0,81762.0,78,12122.0,67729.0,39.5559,36.7749,36.663199999999996,49.381,45.0,568.0,61.0,52.259,0.14825958269122574,2.5901709401709403,0.5769230769230769,0.4358974358974359,0.47435897435897434,0.3717948717948718,1.4871794871794872,0.8333333333333334,0.038461538461538464,0.07692307692307693,0.0641025641025641,1.981360534233507,1.4970279591986497,1.6291186614808837,5.107507154913041,0.1320907022822338,0.2641814045644676,,0.8113695090439277,0.918918918918919,0.64050784051145,0.5954765732551788,0.5936678740273736,2.6247486305718377,2.391885307623027,3.2423334170001032
8471709,Marc-Edouard Vlasic,2023,SJS,D,35.0,16.0,27.0,24.0,16.0,8.0,8.0,4.0,108.0,50.0,0.0,0.0,0.0,178.0,43.0,148.0,55680.0,57,5250.0,49799.0,23.0187,23.7265,24.0725,46.843,51.0,486.0,49.0,30.885,0.09428879310344827,1.5350877192982457,0.6140350877192983,0.2807017543859649,0.47368421052631576,0.42105263157894735,1.894736842105263,0.8771929824561403,0.14035087719298245,0.2807017543859649,0.07017543859649122,2.2629310344827585,1.0344827586206897,1.7456896551724137,6.982758620689655,0.5172413793103449,1.0344827586206897,,0.8054298642533937,0.5925925925925926,0.5069300244984838,0.5225175716379846,0.5301373672162092,3.3863089620273503,3.68682102050242,3.542239804012129
8471709,Marc-Edouard Vlasic,2024,SJS,D,4.0,4.0,26.0,19.0,2.0,1.0,2.0,1.0,40.0,20.0,0.0,0.0,0.0,51.0,40.0,69.0,23693.0,27,1081.0,22290.0,11.6244,11.3022,12.0987,15.806000000000001,15.0,172.0,18.0,12.993,0.04562529017009243,0.667283950617284,0.14814814814814814,0.14814814814814814,0.9629629629629629,0.7037037037037037,1.4814814814814814,0.7407407407407407,0.037037037037037035,0.07407407407407407,0.037037037037037035,0.6077744481492424,0.6077744481492424,3.950533912970075,6.077744481492424,0.1519436120373106,0.3038872240746212,,0.5604395604395604,0.15384615384615385,0.5719371682368776,0.556084465679677,0.5952734091520862,2.55278600269179,2.4226110363391657,2.907133243606999
8471710,Taylor Chorney,2009,EDM,D,36.0,10.0,31.0,27.0,12.0,6.0,6.0,3.0,72.0,24.0,0.0,0.0,0.0,138.0,68.0,148.0,43827.0,42,4718.0,36475.0,16.4108,15.6599,15.7289,29.537,16.0,379.0,33.0,20.171,0.1076505350582974,1.8722222222222225,0.8571428571428571,0.23809523809523808,0.7380952380952381,0.6428571428571429,1.7142857142857142,0.5714285714285714,0.14285714285714285,0.2857142857142857,0.07142857142857142,2.9570812512834554,0.8214114586898488,2.546375521938531,5.914162502566911,0.49284687521390924,0.9856937504278185,,0.6699029126213593,0.3225806451612903,0.4934263018505826,0.4708488644276903,0.4729234991089788,2.9152350925291293,1.579163810829335,3.2570253598355037
8471710,Taylor Chorney,2015,WSH,D,56.0,8.0,27.0,27.0,21.0,9.0,7.0,2.0,58.0,32.0,0.0,0.0,0.0,64.0,107.0,127.0,43530.0,55,3733.0,39332.0,26.3772,26.7617,26.412200000000002,26.567,24.0,308.0,24.0,24.38,0.08575694923041581,1.1312121212121213,1.018181818181818,0.14545454545454545,0.4909090909090909,0.4909090909090909,1.0545454545454545,0.5818181818181818,0.16363636363636364,0.38181818181818183,0.03636363636363636,4.631288766368022,0.6616126809097175,2.2329427980702965,4.796691936595451,0.7443142660234321,1.7367332873880084,,0.3742690058479532,0.2962962962962963,0.7354793867588731,0.7462004573883861,0.7364552969592191,2.4316383606223937,2.1966846333774024,2.1966846333774024
8471710,Taylor Chorney,2017,WSH,D,18.0,4.0,11.0,9.0,8.0,4.0,2.0,1.0,31.0,11.0,0.0,0.0,0.0,37.0,38.0,62.0,18706.0,24,2367.0,16193.0,10.6186,10.5096,10.4741,10.905,6.0,128.0,7.0,8.331,0.12653694001924518,1.64375,0.75,0.16666666666666666,0.4583333333333333,0.375,1.2916666666666667,0.4583333333333333,0.16666666666666666,0.3333333333333333,0.041666666666666664,3.4641291564204,0.7698064792045334,2.116967817812467,5.966000213835134,0.7698064792045334,1.5396129584090668,,0.49333333333333335,0.36363636363636365,0.7191637510035201,0.7117815302908665,0.7093772290495893,2.424380905329463,1.3339097140739826,1.5562279997529798
8471714,Michael Sauer,2010,NYR,D,78.0,25.0,13.0,12.0,75.0,26.0,57.0,18.0,96.0,35.0,0.0,0.0,0.0,192.0,180.0,259.0,79745.0,76,6418.0,70263.0,43.91,38.2427,39.0241,33.117,24.0,534.0,29.0,47.19,0.08048153489246974,1.4074561403508772,1.0263157894736843,0.32894736842105265,0.17105263157894737,0.15789473684210525,1.263157894736842,0.4605263157894737,0.34210526315789475,0.9868421052631579,0.23684210526315788,3.5212239011850275,1.1285974042259703,0.5868706501975045,4.333814032227726,1.173741300395009,3.3857922126779108,,0.5161290322580645,1.9230769230769231,0.6853692128147104,0.596911163628083,0.6091076451332849,1.6967849365953631,1.229665684641988,1.4858460356090688
8471717,Adam McQuaid,2010,BOS,D,102.0,5.0,15.0,12.0,86.0,25.0,91.0,22.0,131.0,61.0,0.0,0.0,0.0,189.0,123.0,226.0,59760.0,67,5476.0,53567.0,33.6181,32.7819,31.8615,33.996,23.0,469.0,26.0,32.36,0.09163319946452476,1.3621890547263682,1.5223880597014925,0.07462686567164178,0.22388059701492538,0.1791044776119403,1.955223880597015,0.9104477611940298,0.373134328358209,1.2835820895522387,0.3283582089552239,6.144578313253011,0.3012048192771084,0.9036144578313252,7.8915662650602405,1.506024096385542,5.180722891566265,,0.6057692307692307,0.3333333333333333,0.6882776759945488,0.6711577973379133,0.6523140562286482,2.2847200701924693,1.5457277801631601,1.7473444471409636
8471717,Adam McQuaid,2011,BOS,D,104.0,9.0,18.0,13.0,79.0,25.0,52.0,17.0,101.0,68.0,0.0,0.0,0.0,149.0,139.0,252.0,64594.0,72,4265.0,59277.0,35.7958,35.8747,34.8145,34.341,26.0,480.0,29.0,32.749,0.06602780444004087,0.9872685185185185,1.4444444444444444,0.125,0.25,0.18055555555555555,1.4027777777777777,0.9444444444444444,0.3472222222222222,1.0972222222222223,0.2361111111111111,5.796203981793974,0.5015945753475555,1.003189150695111,5.6290057900114565,1.3933182648543208,4.402885716939654,,0.5173611111111112,0.5,0.6622678924372015,0.6637276429306476,0.6441125925738482,2.0855913760817857,1.5790272787084367,1.7612227339440256
8471717,Adam McQuaid,2012,BOS,D,62.0,3.0,8.0,7.0,60.0,21.0,44.0,13.0,43.0,26.0,0.0,0.0,0.0,49.0,72.0,120.0,27441.0,32,1088.0,26143.0,15.9524,16.6614,16.625799999999998,15.243,17.0,182.0,15.0,16.593,0.03964870084909442,0.5666666666666667,1.9375,0.09375,0.25,0.21875,1.34375,0.8125,0.65625,1.875,0.40625,8.133814365365694,0.3935716628402755,1.0495244342407348,5.641193834043949,2.755001639881929,7.871433256805511,,0.4049586776859504,0.375,0.6692038817274223,0.6989464629155032,0.6974530413495008,2.0990245954940137,2.3409708143671346,2.065562483265119
8471717,Adam McQuaid,2013,BOS,D,54.0,1.0,10.0,7.0,59.0,19.0,47.0,12.0,42.0,25.0,0.0,0.0,0.0,107.0,72.0,106.0,28886.0,30,3195.0,25273.0,17.1719,15.2153,15.313,11.656,7.0,185.0,10.0,15.589,0.1106072145676106,1.775,1.8,0.03333333333333333,0.3333333333333333,0.23333333333333334,1.4,0.8333333333333334,0.6333333333333333,1.9666666666666666,0.4,6.72990375960673,0.12462784740012463,1.2462784740012463,5.234369590805234,2.367929100602368,7.3530429966073525,,0.5977653631284916,0.1,0.745159764570886,0.6602547980057769,0.6644944050963479,1.660333161872354,0.9971115419617774,1.4244450599453964
8471717,Adam McQuaid,2014,BOS,D,141.0,7.0,22.0,15.0,75.0,30.0,54.0,17.0,91.0,49.0,0.0,0.0,1.0,234.0,173.0,283.0,69688.0,63,6838.0,60881.0,31.4563,30.9121,31.0476,34.074,28.0,470.0,32.0,34.254,0.0981230627941683,1.808994708994709,2.238095238095238,0.1111111111111111,0.3492063492063492,0.23809523809523808,1.4444444444444444,0.7777777777777778,0.47619047619047616,1.1904761904761905,0.2698412698412698,7.28389392721846,0.36161175525198025,1.1364940879347951,4.700952818275743,1.5497646653656298,3.874411663414074,0.0,0.5749385749385749,0.3181818181818182,0.5666484487771225,0.5568453223501585,0.559286196350257,2.0148552093428163,1.655688967001199,1.8922159622870844
8471717,Adam McQuaid,2015,BOS,D,142.0,7.0,27.0,19.0,79.0,32.0,53.0,19.0,121.0,48.0,0.0,0.0,0.0,277.0,187.0,286.0,69274.0,64,8815.0,58336.0,29.2743,30.5469,30.7369,38.426,34.0,476.0,31.0,34.964,0.1272483182723677,2.2955729166666665,2.21875,0.109375,0.421875,0.296875,1.890625,0.75,0.5,1.234375,0.296875,7.379391979674914,0.36377284406848165,1.4031238271212865,6.288073447469469,1.6629615728844875,4.105436383058579,,0.5969827586206896,0.25925925925925924,0.5503484093869995,0.5742729228949534,0.5778448681774547,2.371324739440483,2.0981897970378496,1.9130554031815687
8471717,Adam McQuaid,2016,BOS,D,157.0,10.0,24.0,20.0,61.0,22.0,49.0,17.0,144.0,42.0,0.0,0.0,0.0,280.0,205.0,344.0,84227.0,77,10264.0,70856.0,40.6977,41.573,41.3807,42.999,34.0,525.0,46.0,47.713,0.1218611609103969,2.2216450216450214,2.038961038961039,0.12987012987012986,0.3116883116883117,0.2597402597402597,1.87012987012987,0.5454545454545454,0.2857142857142857,0.7922077922077922,0.22077922077922077,6.710437270708917,0.4274163866693578,1.0257993280064588,6.154795968038752,0.9403160506725872,2.6072399586830826,,0.5773195876288659,0.4166666666666667,0.6299137347578186,0.6434615149034661,0.6404851203850062,2.1846618493846677,1.727447216890595,2.337134469910805
